Reference;Qty;Value;DNP;Exclude from BOM;Exclude from Board;Footprint;Datasheet
BP1;1;Button_Reset;;;;My_footprints:Button_Reset;https://www.farnell.com/datasheets/3975354.pdf?_gl=1*1f6nbd1*_gcl_aw*R0NMLjE3NjU2NDI2OTUuQ2owS0NRaUF1dlRKQmhDd0FSSXNBTDZEZW1nQjE0blpvT1IyQ1NYbkNNNF91aEoxNU0wTTlvSGdYSmZqVTVFOE1GWEZEMlBsaVJhUklmUWFBa3VTRUFMd193Y0I.*_gcl_au*MTQzMTk2NjUzNC4xNzY0MTcxMTE0
C1,C6;2;10uF;;;;Capacitor_SMD:C_1206_3216Metric;https://4donline.ihs.com/images/VipMasterIC/IC/SEMS/SEMS-S-A0008384515/SEMS-S-A0008888671-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0
C2,C5,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C19,C20,C23;15;100n;;;;Capacitor_SMD:C_1206_3216Metric;https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf
C3;1;100n;;;;My_footprints:CAPA_FILM_L7.2mm_W2.5mm_P5.00mm;https://content.kemet.com/datasheets/KEM_F3101_R82.pdf
C4;1;22uF;;;;Capacitor_SMD:C_1206_3216Metric;https://4donline.ihs.com/images/VipMasterIC/IC/SEMS/SEMS-S-A0008384515/SEMS-S-A0008888671-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0
C18;1;47uF;;;;My_footprints:CAP ELECTROLY CMS 5MM;https://www.farnell.com/datasheets/3486024.pdf?_gl=1*1wznr7o*_gcl_aw*R0NMLjE3NjU2NDI2OTUuQ2owS0NRaUF1dlRKQmhDd0FSSXNBTDZEZW1nQjE0blpvT1IyQ1NYbkNNNF91aEoxNU0wTTlvSGdYSmZqVTVFOE1GWEZEMlBsaVJhUklmUWFBa3VTRUFMd193Y0I.*_gcl_au*MTQzMTk2NjUzNC4xNzY0MTcxMTE0
C21,C30;2;~;;;;Capacitor_SMD:C_1206_3216Metric;https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf
CON1,CON8,CON10;3;Conn_01x03;;;;Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical;https://www.gotronic.fr/pj-1261.pdf
CON3,CON5,CON6;3;Conn_01x02;;;;Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical;https://www.gotronic.fr/pj-1261.pdf
CON7;1;Conn_01x05;;;;Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical;https://www.gotronic.fr/pj-1261.pdf
CON9;1;Conn_01x04;;;;Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical;https://www.gotronic.fr/pj-1261.pdf
CONN2;1;USB_B;;;;My_footprints:USB_B;https://4donline.ihs.com/images/VipMasterIC/IC/SCMP/SCMP-S-A0010725696/SCMP-S-A0010725696-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0
